id,property_id,year,month,occupancy,adr,revenue,country,country_code,adm_1_id,adm_2_id,adm_3_id,bathrooms,bedrooms,revpar,fetched_revenue,property_grade
1587104,abnb_45566142,2024,1,1.0,153.8273775,56146.9927875,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,153.8273775,1538.273775,A
4716146,abnb_24558367,2024,1,0.555555556,38.920212,7892.154106313723,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,0,21.622340017297873,194.60106,A
3731009,vrbo_11002432ha,2024,1,1.0,3230.9861904,1179309.959496,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,6,6,3230.9861904,161549.30952,A
1263325,abnb_13111078,2024,1,0.057692308,93.72439,1973.619376872124,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,5.40717637499212,281.17317,A
3730966,vrbo_11006275ha,2024,1,1.0,2940.6335545,1073331.2473925,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,8,6,2940.6335545,176438.01327,A
3730937,vrbo_11060270ha,2024,1,1.0,415.22408675,151556.79166375,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,2,1,415.22408675,24913.445205,A
3730968,vrbo_11006271ha,2024,1,1.0,8570.716482558,3128311.51613367,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,10,8,8570.716482558,368540.80875,A
5417687,abnb_6642067,2024,1,0.192982456,204.986899091,14438.989460557952,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,3,2,39.55887523440535,2254.85589,A
3730992,vrbo_11005058ha,2024,1,1.0,2493.185869,910012.842185,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,10,7,2493.185869,149591.15214,A
4891874,abnb_26198415,2024,1,1.0,73.700271,26900.598915,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,73.700271,1842.506775,A
3731005,vrbo_11003211ha,2024,1,1.0,1345.10507925,490963.35392625,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,8,8,1345.10507925,80706.304755,A
3731029,vrbo_10994274ha,2024,1,1.0,638.9479295,233215.9942675,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,638.9479295,38336.87577,A
2812346,abnb_674471298563312802,2024,1,0.9,81.045226111,26623.3567774635,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,2,1,72.9407034999,4376.44221,A
1884611,abnb_36669732,2024,1,1.0,71.472555,26087.482575,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,71.472555,285.89022,A
4269302,vrbo_11140491ha,2024,1,1.0,444.8883624,162384.252276,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,2,3,444.8883624,11122.20906,A
1851559,abnb_37957475,2024,1,0.161290323,54.999924,3237.89876003144,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,2,8.870955506935452,274.99962,A
4483966,abnb_1087563890810847941,2024,1,1.0,452.040705,164994.857325,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,6,6,452.040705,452.040705,A
1851607,abnb_37394013,2024,1,0.666666667,673.9042575,163983.3694069917,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,4,4,449.26950522463477,8086.85109,A
3730914,vrbo_11070519ha,2024,1,1.0,777.96974125,283958.95555625,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,4,2,777.96974125,46678.184475,A
1851704,abnb_36551161,2024,1,0.1,104.15268,3801.57282,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,10.415268,312.45804,A
4849268,abnb_568088886400763839,2024,1,0.117647059,189.70317375,8146.077473248528,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,22.3180204746535,758.812695,A
1647985,abnb_20731609,2024,1,0.653846154,6211.863607059,1482485.1419565545,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,10,8,4061.6031286480943,105601.68132,A
3256716,abnb_631311,2024,1,0.35483871,222.00966,28753.83179710759,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,3,4,78.7776213619386,2442.10626,A
4204940,abnb_902707223350067498,2024,1,1.0,288.674865,105366.325725,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,288.674865,4618.79784,A
4484194,abnb_1047604544751160488,2024,1,0.074074074,850.58022,22997.16888811394,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,2,3,63.00594215921628,1701.16044,A
4326601,abnb_1045647868270171311,2024,1,1.0,64.299984545,23469.494358925,,GRC,GRC.1_1,GRC.1.2_1,GRC.1.2.21_1,1,1,64.299984545,707.29983,A
